,0,Target
3545,Primary Education,Graduate
3546,Primary Education,Graduate
3547,Primary Education,Dropout
3548,Trade School Education,Dropout
3549,Secondary Education,Graduate
3551,Trade School Education,Dropout
3552,Trade School Education,Dropout
3553,Primary Education,Dropout
3555,Trade School Education,Graduate
3557,Secondary Education,Dropout
3559,Secondary Education,Graduate
3561,Secondary Education,Graduate
3562,Primary Education,Dropout
3563,Secondary Education,Dropout
3564,Primary Education,Dropout
3565,Secondary Education,Dropout
3566,Trade School Education,Graduate
3567,Primary Education,Graduate
3568,Secondary Education,Graduate
3569,Secondary Education,Dropout
3570,Secondary Education,Graduate
3571,Secondary Education,Graduate
3572,Primary Education,Dropout
3574,Secondary Education,Graduate
3575,Secondary Education,Graduate
3576,Secondary Education,Graduate
3577,Primary Education,Dropout
3578,Secondary Education,Dropout
3579,Secondary Education,Graduate
3580,Primary Education,Graduate
3581,Primary Education,Graduate
3582,Trade School Education,Dropout
3584,Secondary Education,Graduate
3585,Primary Education,Dropout
3586,Secondary Education,Dropout
3587,Secondary Education,Graduate
3588,Trade School Education,Graduate
3589,Secondary Education,Dropout
3592,Primary Education,Dropout
3593,Primary Education,Dropout
3595,Primary Education,Dropout
3597,Primary Education,Graduate
3598,Trade School Education,Graduate
3599,Secondary Education,Dropout
3600,Secondary Education,Dropout
3601,Secondary Education,Graduate
3602,Primary Education,Graduate
3604,Primary Education,Graduate
3605,Secondary Education,Graduate
3606,Secondary Education,Dropout
3608,Primary Education,Dropout
3611,Secondary Education,Graduate
3612,Primary Education,Dropout
3613,Secondary Education,Dropout
3615,Primary Education,Dropout
3617,Primary Education,Dropout
3618,Secondary Education,Graduate
3619,Primary Education,Graduate
3620,Trade School Education,Dropout
3621,Secondary Education,Graduate
3622,Primary Education,Graduate
3623,Secondary Education,Dropout
3624,Secondary Education,Graduate
3626,Primary Education,Dropout
3628,Secondary Education,Dropout
3629,Primary Education,Graduate
3630,Primary Education,Graduate
3631,Trade School Education,Dropout
3633,Trade School Education,Graduate
3634,Secondary Education,Graduate
3635,Trade School Education,Graduate
3636,Secondary Education,Graduate
3638,Trade School Education,Graduate
3639,Secondary Education,Graduate
3640,Primary Education,Graduate
3641,Trade School Education,Dropout
3642,Primary Education,Graduate
3643,Secondary Education,Graduate
3644,Trade School Education,Graduate
3645,Trade School Education,Graduate
3647,Trade School Education,Dropout
3648,Primary Education,Graduate
3649,Trade School Education,Dropout
3650,Secondary Education,Graduate
3652,Trade School Education,Graduate
3654,Secondary Education,Graduate
3655,Secondary Education,Graduate
3656,Secondary Education,Graduate
3657,Trade School Education,Graduate
3658,Primary Education,Graduate
3660,Primary Education,Dropout
3661,Secondary Education,Graduate
3662,Trade School Education,Graduate
3663,Trade School Education,Graduate
3664,Primary Education,Dropout
3666,Trade School Education,Dropout
3667,Primary Education,Dropout
3668,Primary Education,Graduate
3669,Secondary Education,Graduate
3670,Secondary Education,Graduate
3671,Trade School Education,Graduate
3672,Primary Education,Graduate
3673,Primary Education,Graduate
3674,Secondary Education,Graduate
3675,Trade School Education,Graduate
3676,Trade School Education,Graduate
3677,Primary Education,Dropout
3678,Secondary Education,Graduate
3679,Primary Education,Graduate
3680,Trade School Education,Dropout
3682,Trade School Education,Dropout
3683,Primary Education,Graduate
3684,Trade School Education,Dropout
3685,Secondary Education,Dropout
3686,Primary Education,Dropout
3687,Primary Education,Dropout
3688,Primary Education,Graduate
3690,Primary Education,Graduate
3691,Primary Education,Dropout
3692,Trade School Education,Dropout
3693,Primary Education,Dropout
3694,Secondary Education,Dropout
3695,Primary Education,Dropout
3696,Trade School Education,Graduate
3698,Trade School Education,Graduate
3699,Secondary Education,Dropout
3702,Secondary Education,Dropout
3703,Trade School Education,Dropout
3704,Trade School Education,Graduate
3705,Secondary Education,Dropout
3706,Trade School Education,Graduate
3707,Trade School Education,Graduate
3708,Secondary Education,Dropout
3709,Secondary Education,Dropout
3710,Trade School Education,Graduate
3711,Primary Education,Dropout
3712,Secondary Education,Dropout
3713,Trade School Education,Dropout
3714,Trade School Education,Dropout
3716,Secondary Education,Dropout
3717,Trade School Education,Graduate
3718,Secondary Education,Dropout
3719,Primary Education,Dropout
3721,Trade School Education,Dropout
3722,Primary Education,Dropout
3723,Secondary Education,Dropout
3724,Secondary Education,Dropout
3725,Secondary Education,Dropout
3726,Trade School Education,Dropout
3727,Trade School Education,Graduate
3728,Primary Education,Graduate
3729,Trade School Education,Graduate
3730,Secondary Education,Graduate
3731,Trade School Education,Dropout
3732,Secondary Education,Graduate
3733,Trade School Education,Dropout
3734,Primary Education,Dropout
3735,Trade School Education,Graduate
3738,Secondary Education,Graduate
3739,Trade School Education,Dropout
3740,Secondary Education,Dropout
3742,Primary Education,Graduate
3744,Primary Education,Dropout
3745,Secondary Education,Graduate
3746,Secondary Education,Graduate
3747,Trade School Education,Graduate
3748,Secondary Education,Dropout
3749,Secondary Education,Graduate
3750,Trade School Education,Graduate
3751,Secondary Education,Graduate
3752,Secondary Education,Graduate
3753,Trade School Education,Graduate
3754,Primary Education,Dropout
3755,Secondary Education,Dropout
3756,Trade School Education,Graduate
3757,Secondary Education,Graduate
3759,Trade School Education,Dropout
3760,Trade School Education,Graduate
3761,Secondary Education,Dropout
3762,Primary Education,Graduate
3763,Secondary Education,Graduate
3764,Primary Education,Graduate
3765,Trade School Education,Graduate
3766,Trade School Education,Graduate
3767,Trade School Education,Dropout
3769,Secondary Education,Dropout
3770,Secondary Education,Dropout
3771,Secondary Education,Graduate
3772,Secondary Education,Graduate
3773,Trade School Education,Dropout
3774,Secondary Education,Graduate
3775,Trade School Education,Dropout
3776,Secondary Education,Graduate
3777,Primary Education,Graduate
3780,Secondary Education,Graduate
3781,Secondary Education,Graduate
3782,Secondary Education,Graduate
3784,Trade School Education,Dropout
3786,Secondary Education,Dropout
3787,Trade School Education,Dropout
3789,Secondary Education,Dropout
3790,Primary Education,Graduate
3791,Secondary Education,Dropout
3792,Primary Education,Dropout
3793,Primary Education,Dropout
3794,Primary Education,Dropout
3795,Secondary Education,Graduate
3796,Secondary Education,Graduate
3797,Secondary Education,Dropout
3798,Primary Education,Graduate
3799,Secondary Education,Dropout
3800,Primary Education,Dropout
3801,Trade School Education,Graduate
3802,Trade School Education,Graduate
3803,Primary Education,Graduate
3804,Secondary Education,Dropout
3805,Trade School Education,Dropout
3806,Primary Education,Graduate
3807,Primary Education,Graduate
3808,Primary Education,Dropout
3809,Primary Education,Dropout
3811,Trade School Education,Dropout
3812,Trade School Education,Graduate
3813,Primary Education,Graduate
3814,Primary Education,Graduate
3816,Primary Education,Dropout
3817,Trade School Education,Graduate
3818,Primary Education,Dropout
3819,Secondary Education,Dropout
3821,Secondary Education,Dropout
3822,Trade School Education,Graduate
3823,Trade School Education,Dropout
3825,Secondary Education,Dropout
3826,Trade School Education,Dropout
3827,Trade School Education,Graduate
3828,Primary Education,Dropout
3829,Trade School Education,Dropout
3830,Secondary Education,Graduate
3833,Trade School Education,Dropout
3834,Secondary Education,Graduate
3835,Secondary Education,Dropout
3836,Secondary Education,Dropout
3837,Secondary Education,Dropout
3838,Trade School Education,Dropout
3839,Trade School Education,Dropout
3842,Secondary Education,Dropout
3843,Trade School Education,Dropout
3844,Primary Education,Graduate
3845,Primary Education,Dropout
3846,Trade School Education,Dropout
3847,Secondary Education,Dropout
3848,Trade School Education,Dropout
3849,Primary Education,Graduate
3850,Trade School Education,Dropout
3851,Trade School Education,Dropout
3852,Trade School Education,Dropout
3853,Trade School Education,Dropout
3854,Trade School Education,Dropout
3855,Secondary Education,Graduate
3856,Trade School Education,Graduate
3857,Trade School Education,Graduate
3858,Trade School Education,Dropout
3859,Trade School Education,Dropout
3860,Trade School Education,Dropout
3861,Trade School Education,Dropout
3862,Primary Education,Graduate
3863,Trade School Education,Graduate
3864,Secondary Education,Dropout
3865,Secondary Education,Dropout
3866,Trade School Education,Dropout
3867,Primary Education,Graduate
3868,Secondary Education,Graduate
3869,Secondary Education,Dropout
3870,Secondary Education,Graduate
3871,Trade School Education,Graduate
3872,Secondary Education,Graduate
3873,Primary Education,Dropout
3874,Secondary Education,Dropout
3875,Primary Education,Dropout
3876,Secondary Education,Dropout
3877,Secondary Education,Graduate
3878,Trade School Education,Graduate
3879,Trade School Education,Graduate
3880,Primary Education,Graduate
3881,Secondary Education,Graduate
3882,Trade School Education,Dropout
3883,Trade School Education,Graduate
3884,Secondary Education,Graduate
3885,Trade School Education,Graduate
3888,Trade School Education,Graduate
3889,Secondary Education,Graduate
3892,Secondary Education,Graduate
3893,Trade School Education,Dropout
3895,Trade School Education,Graduate
3897,Trade School Education,Graduate
3898,Trade School Education,Graduate
3900,Trade School Education,Graduate
3903,Trade School Education,Dropout
3904,Trade School Education,Dropout
3905,Trade School Education,Graduate
3906,Trade School Education,Graduate
3908,Trade School Education,Graduate
3909,Trade School Education,Dropout
3911,Trade School Education,Graduate
3912,Secondary Education,Graduate
3913,Primary Education,Graduate
3914,Trade School Education,Dropout
3915,Trade School Education,Graduate
3916,Trade School Education,Graduate
3917,Primary Education,Graduate
3919,Secondary Education,Graduate
3920,Trade School Education,Graduate
3921,Trade School Education,Graduate
3922,Primary Education,Graduate
3923,Trade School Education,Graduate
3926,Primary Education,Graduate
3927,Trade School Education,Dropout
3928,Primary Education,Graduate
3930,Secondary Education,Graduate
3931,Secondary Education,Graduate
3932,Primary Education,Graduate
3934,Trade School Education,Dropout
3936,Trade School Education,Dropout
3938,Primary Education,Graduate
3939,Secondary Education,Graduate
3941,Primary Education,Dropout
3942,Secondary Education,Graduate
3943,Secondary Education,Dropout
3944,Secondary Education,Dropout
3945,Trade School Education,Graduate
3946,Secondary Education,Graduate
3947,Trade School Education,Dropout
3948,Trade School Education,Graduate
3949,Secondary Education,Graduate
3950,Trade School Education,Dropout
3951,Primary Education,Dropout
3952,Secondary Education,Graduate
3953,Trade School Education,Graduate
3954,Secondary Education,Dropout
3955,Secondary Education,Dropout
3956,Trade School Education,Graduate
3957,Trade School Education,Graduate
3958,Primary Education,Graduate
3959,Trade School Education,Graduate
3960,Trade School Education,Dropout
3961,Trade School Education,Graduate
3962,Trade School Education,Graduate
3963,Primary Education,Graduate
3964,Primary Education,Dropout
3965,Primary Education,Graduate
3966,Primary Education,Dropout
3968,Secondary Education,Graduate
3969,Trade School Education,Graduate
3970,Trade School Education,Graduate
3971,Primary Education,Graduate
3972,Trade School Education,Graduate
3973,Secondary Education,Graduate
3974,Primary Education,Graduate
3975,Trade School Education,Graduate
3976,Primary Education,Graduate
3977,Trade School Education,Graduate
3978,Primary Education,Graduate
3980,Secondary Education,Graduate
3981,Trade School Education,Graduate
3982,Secondary Education,Graduate
3983,Trade School Education,Graduate
3984,Trade School Education,Dropout
3985,Trade School Education,Graduate
3986,Trade School Education,Graduate
3987,Secondary Education,Graduate
3988,Primary Education,Graduate
3989,Trade School Education,Graduate
3990,Trade School Education,Graduate
3991,Primary Education,Dropout
3992,Trade School Education,Graduate
3993,Trade School Education,Graduate
3994,Secondary Education,Graduate
3995,Trade School Education,Dropout
3996,Secondary Education,Dropout
3997,Primary Education,Graduate
3998,Primary Education,Dropout
3999,Secondary Education,Dropout
4000,Primary Education,Dropout
4001,Secondary Education,Dropout
4002,Primary Education,Graduate
4003,Trade School Education,Graduate
4004,Trade School Education,Graduate
4005,Trade School Education,Dropout
4006,Trade School Education,Graduate
4007,Secondary Education,Dropout
4008,Trade School Education,Dropout
4009,Trade School Education,Dropout
4010,Trade School Education,Dropout
4012,Trade School Education,Dropout
4013,Trade School Education,Graduate
4014,Primary Education,Graduate
4015,Trade School Education,Dropout
4016,Primary Education,Dropout
4017,Trade School Education,Dropout
4018,Trade School Education,Graduate
4019,Secondary Education,Graduate
4020,Secondary Education,Dropout
4021,Secondary Education,Graduate
4022,Primary Education,Graduate
4023,Primary Education,Dropout
4026,Trade School Education,Graduate
4027,Primary Education,Dropout
4028,Secondary Education,Graduate
4029,Secondary Education,Dropout
4030,Trade School Education,Graduate
4032,Secondary Education,Graduate
4033,Secondary Education,Dropout
4034,Primary Education,Dropout
4035,Primary Education,Dropout
4036,Secondary Education,Graduate
4038,Secondary Education,Graduate
4039,Secondary Education,Graduate
4040,Secondary Education,Graduate
4041,Trade School Education,Graduate
4042,Primary Education,Graduate
4044,Trade School Education,Graduate
4045,Primary Education,Dropout
4046,Primary Education,Graduate
4047,Secondary Education,Graduate
4048,Trade School Education,Graduate
4049,Secondary Education,Graduate
4050,Primary Education,Dropout
4051,Trade School Education,Graduate
4052,Trade School Education,Dropout
4054,Trade School Education,Graduate
4055,Secondary Education,Dropout
4056,Secondary Education,Graduate
4058,Secondary Education,Graduate
4059,Primary Education,Dropout
4060,Secondary Education,Graduate
4061,Secondary Education,Graduate
4062,Secondary Education,Graduate
4063,Secondary Education,Graduate
4066,Primary Education,Graduate
4067,Trade School Education,Dropout
4068,Secondary Education,Graduate
4069,Secondary Education,Graduate
4070,Secondary Education,Graduate
4071,Secondary Education,Dropout
4073,Primary Education,Graduate
4074,Trade School Education,Graduate
4075,Primary Education,Dropout
4076,Primary Education,Graduate
4077,Primary Education,Dropout
4078,Trade School Education,Graduate
4080,Trade School Education,Dropout
4083,Secondary Education,Graduate
4084,Secondary Education,Dropout
4085,Secondary Education,Dropout
4086,Trade School Education,Graduate
4089,Primary Education,Dropout
4090,Primary Education,Graduate
4091,Trade School Education,Dropout
4092,Secondary Education,Dropout
4093,Trade School Education,Graduate
4094,Trade School Education,Graduate
4095,Trade School Education,Graduate
4096,Trade School Education,Graduate
4097,Trade School Education,Graduate
4098,Trade School Education,Dropout
4099,Trade School Education,Dropout
4101,Trade School Education,Graduate
4102,Trade School Education,Graduate
4104,Trade School Education,Graduate
4105,Trade School Education,Graduate
4106,Secondary Education,Graduate
4107,Trade School Education,Dropout
4108,Trade School Education,Graduate
4109,Secondary Education,Graduate
4110,Trade School Education,Graduate
4111,Primary Education,Graduate
4112,Trade School Education,Graduate
4113,Trade School Education,Dropout
4114,Secondary Education,Graduate
4117,Secondary Education,Graduate
4118,Secondary Education,Graduate
4119,Secondary Education,Graduate
4120,Primary Education,Graduate
4121,Secondary Education,Graduate
4122,Primary Education,Graduate
4123,Trade School Education,Graduate
4127,Trade School Education,Graduate
4128,Trade School Education,Graduate
4129,Trade School Education,Graduate
4130,Trade School Education,Graduate
4131,Primary Education,Graduate
4134,Primary Education,Graduate
4135,Trade School Education,Graduate
4136,Secondary Education,Graduate
4137,Trade School Education,Graduate
4138,Trade School Education,Dropout
4139,Trade School Education,Graduate
4140,Primary Education,Dropout
4141,Secondary Education,Dropout
4142,Primary Education,Graduate
4145,Primary Education,Dropout
4146,Trade School Education,Dropout
4149,Trade School Education,Graduate
4150,Primary Education,Graduate
4151,Trade School Education,Graduate
4152,Primary Education,Graduate
4154,Trade School Education,Dropout
4155,Secondary Education,Graduate
4157,Secondary Education,Dropout
4158,Secondary Education,Graduate
4159,Primary Education,Graduate
4160,Trade School Education,Graduate
4162,Primary Education,Dropout
4163,Primary Education,Graduate
4164,Trade School Education,Dropout
4165,Primary Education,Graduate
4167,Primary Education,Graduate
4168,Primary Education,Graduate
4169,Trade School Education,Dropout
4173,Trade School Education,Graduate
4174,Trade School Education,Graduate
4175,Trade School Education,Graduate
4176,Primary Education,Graduate
4178,Primary Education,Graduate
4179,Secondary Education,Graduate
4181,Trade School Education,Dropout
4182,Trade School Education,Dropout
4183,Trade School Education,Graduate
4184,Trade School Education,Graduate
4187,Trade School Education,Graduate
4188,Trade School Education,Graduate
4189,Trade School Education,Graduate
4190,Trade School Education,Dropout
4193,Secondary Education,Graduate
4194,Trade School Education,Dropout
4195,Trade School Education,Graduate
4196,Primary Education,Graduate
4197,Secondary Education,Graduate
4199,Trade School Education,Graduate
4200,Trade School Education,Graduate
4201,Trade School Education,Graduate
4203,Primary Education,Graduate
4204,Primary Education,Dropout
4205,Secondary Education,Graduate
4206,Primary Education,Graduate
4207,Trade School Education,Graduate
4208,Secondary Education,Dropout
4209,Trade School Education,Graduate
4210,Primary Education,Graduate
4211,Primary Education,Graduate
4212,Secondary Education,Graduate
4213,Primary Education,Graduate
4214,Trade School Education,Graduate
4215,Primary Education,Dropout
4216,Secondary Education,Dropout
4217,Secondary Education,Graduate
4219,Trade School Education,Graduate
4220,Primary Education,Dropout
4221,Trade School Education,Graduate
4222,Primary Education,Graduate
4223,Primary Education,Graduate
4224,Trade School Education,Graduate
4225,Trade School Education,Graduate
4226,Primary Education,Dropout
4227,Trade School Education,Graduate
4229,Trade School Education,Dropout
4230,Secondary Education,Graduate
4232,Secondary Education,Dropout
4233,Trade School Education,Graduate
4236,Trade School Education,Graduate
4238,Trade School Education,Dropout
4239,Secondary Education,Graduate
4240,Secondary Education,Graduate
4241,Trade School Education,Dropout
4242,Primary Education,Dropout
4244,Secondary Education,Dropout
4245,Primary Education,Dropout
4246,Trade School Education,Dropout
4247,Trade School Education,Graduate
4248,Secondary Education,Dropout
4249,Trade School Education,Graduate
4250,Trade School Education,Dropout
4251,Primary Education,Dropout
4252,Primary Education,Graduate
4253,Primary Education,Dropout
4254,Trade School Education,Dropout
4255,Secondary Education,Dropout
4256,Secondary Education,Graduate
4258,Primary Education,Graduate
4259,Trade School Education,Dropout
4260,Trade School Education,Dropout
4261,Trade School Education,Dropout
4262,Secondary Education,Graduate
4263,Trade School Education,Dropout
4264,Trade School Education,Graduate
4265,Secondary Education,Graduate
4267,Secondary Education,Graduate
4268,Secondary Education,Dropout
4270,Trade School Education,Graduate
4271,Secondary Education,Dropout
4272,Secondary Education,Graduate
4276,Secondary Education,Dropout
4277,Primary Education,Dropout
4278,Secondary Education,Graduate
4279,Primary Education,Dropout
4280,Primary Education,Dropout
4282,Trade School Education,Dropout
4283,Trade School Education,Dropout
4286,Trade School Education,Graduate
4287,Secondary Education,Graduate
4288,Secondary Education,Dropout
4289,Primary Education,Graduate
4290,Secondary Education,Graduate
4291,Secondary Education,Graduate
4292,Secondary Education,Graduate
4293,Primary Education,Dropout
4294,Trade School Education,Graduate
4296,Secondary Education,Graduate
4297,Trade School Education,Graduate
4298,Primary Education,Dropout
4299,Trade School Education,Dropout
4300,Secondary Education,Graduate
4301,Trade School Education,Dropout
4302,Trade School Education,Dropout
4303,Secondary Education,Dropout
4304,Primary Education,Dropout
4305,Primary Education,Dropout
4306,Primary Education,Dropout
4307,Primary Education,Dropout
4308,Secondary Education,Dropout
4309,Secondary Education,Graduate
4310,Trade School Education,Graduate
4312,Primary Education,Dropout
4313,Secondary Education,Graduate
4314,Trade School Education,Dropout
4315,Secondary Education,Dropout
4316,Trade School Education,Graduate
4317,Secondary Education,Graduate
4318,Secondary Education,Graduate
4319,Primary Education,Graduate
4322,Secondary Education,Dropout
4323,Trade School Education,Dropout
4324,Primary Education,Graduate
4325,Primary Education,Graduate
4326,Primary Education,Dropout
4327,Trade School Education,Dropout
4328,Trade School Education,Dropout
4329,Trade School Education,Graduate
4330,Secondary Education,Dropout
4331,Trade School Education,Dropout
4332,Trade School Education,Graduate
4333,Primary Education,Dropout
4334,Trade School Education,Graduate
4337,Secondary Education,Graduate
4339,Secondary Education,Graduate
4340,Secondary Education,Graduate
4341,Primary Education,Graduate
4342,Primary Education,Dropout
4344,Trade School Education,Dropout
4345,Secondary Education,Graduate
4346,Primary Education,Dropout
4347,Secondary Education,Dropout
4348,Secondary Education,Graduate
4349,Trade School Education,Graduate
4350,Secondary Education,Graduate
4351,Secondary Education,Graduate
4352,Trade School Education,Dropout
4353,Secondary Education,Graduate
4355,Secondary Education,Graduate
4356,Trade School Education,Dropout
4357,Primary Education,Dropout
4358,Trade School Education,Dropout
4359,Secondary Education,Graduate
4360,Primary Education,Graduate
4361,Secondary Education,Graduate
4362,Secondary Education,Graduate
4363,Primary Education,Dropout
4365,Trade School Education,Graduate
4366,Secondary Education,Graduate
4367,Primary Education,Graduate
4368,Trade School Education,Dropout
4370,Secondary Education,Graduate
4371,Trade School Education,Graduate
4372,Primary Education,Dropout
4374,Trade School Education,Graduate
4375,Trade School Education,Dropout
4376,Trade School Education,Graduate
4377,Trade School Education,Dropout
4378,Trade School Education,Graduate
4379,Trade School Education,Dropout
4380,Trade School Education,Dropout
4382,Secondary Education,Graduate
4383,Trade School Education,Graduate
4384,Trade School Education,Dropout
4385,Primary Education,Dropout
4386,Trade School Education,Dropout
4387,Trade School Education,Dropout
4388,Trade School Education,Dropout
4389,Primary Education,Graduate
4390,Trade School Education,Graduate
4393,Trade School Education,Graduate
4394,Trade School Education,Graduate
4395,Primary Education,Dropout
4396,Primary Education,Graduate
4398,Trade School Education,Graduate
4399,Trade School Education,Graduate
4400,Trade School Education,Dropout
4401,Primary Education,Dropout
4403,Secondary Education,Graduate
4404,Secondary Education,Dropout
4405,Trade School Education,Graduate
4407,Secondary Education,Graduate
4408,Trade School Education,Dropout
4409,Trade School Education,Graduate
4410,Trade School Education,Graduate
4411,Trade School Education,Dropout
4414,Secondary Education,Graduate
4415,Trade School Education,Dropout
4416,Trade School Education,Graduate
4417,Secondary Education,Graduate
4418,Secondary Education,Graduate
4419,Secondary Education,Graduate
4420,Secondary Education,Dropout
4421,Trade School Education,Dropout
4422,Trade School Education,Graduate
4423,Trade School Education,Graduate
